Preise in EUR;;;;;;;;;;;;;
Nettopreis;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
 Heiz�l schwer (Industrie)/t 162,38;154;224,92;267,54;278,98;392,05;283,68;386,12;504,2;573,75;511,77;472,79;332,34
 Heiz�l schwer (Kraftwerke)/t 121,88;115,74;138,96;165,27;153,14;226,44;144,04;271,95;320,06;493,1;473,35;340,29;331,06
 Gas�l (Industrie)/l 228,8;240,48;314,94;363,82;402,61;362,38;318,19;578,91;646,55;689,92;634,83;510,02;477,28
 Gas�l (Haushalte)/l 251,28;291,73;401,85;463,83;445,5;615,06;407,38;517,28;658,95;724,02;679,89;634,02;485,54
 Diesel (komm. Einsatz)/l 0,28;0,29;0,32;0,32;0,36;0,38;0,26;0,45;0,48;0,72;0,66;0,54;0,49
 
